Date,Team,Start Unit,End Unit,Leader,Source
20111106.0,B,,,Petra,Kaz11_SurveySummary.xlsx
20111107.0,B,,,Petra,Kaz11_SurveySummary.xlsx
20111108.0,B,,,Petra,Kaz11_SurveySummary.xlsx
20111109.0,B,,,Petra,Kaz11_SurveySummary.xlsx
20111110.0,B,,,Petra,Kaz11_SurveySummary.xlsx
20111112.0,B,,,Petra,Kaz11_SurveySummary.xlsx
20111113.0,B,,,BW,Kaz11_SurveySummary.xlsx
20111115.0,B,,,Petra,Kaz11_SurveySummary.xlsx
20111116.0,B,,,JS,Kaz11_SurveySummary.xlsx
20111117.0,B,,,PJ,Kaz11_SurveySummary.xlsx
20111118.0,B,,,PJ,Kaz11_SurveySummary.xlsx
20111120.0,B,,,AS,Kaz11_SurveySummary.xlsx
20111121.0,B,,,AS,Kaz11_SurveySummary.xlsx
20111122.0,B,,,AS,Kaz11_SurveySummary.xlsx
20111129.0,B,,,AS,Kaz11_SurveySummary.xlsx
20111102.0,C,,,SR,Kaz11_SurveySummary.xlsx
20111103.0,C,,,SR,Kaz11_SurveySummary.xlsx
20111105.0,C,,,SR,Kaz11_SurveySummary.xlsx
20111106.0,C,,,SR,Kaz11_SurveySummary.xlsx
20111107.0,C,,,SR,Kaz11_SurveySummary.xlsx
20111108.0,C,,,SR,Kaz11_SurveySummary.xlsx
20111109.0,C,,,SR,Kaz11_SurveySummary.xlsx
20111113.0,C,,,SR,Kaz11_SurveySummary.xlsx
20111115.0,C,,,Bara,Kaz11_SurveySummary.xlsx
20111116.0,C,,,SR,Kaz11_SurveySummary.xlsx
20111117.0,C,,,SR,Kaz11_SurveySummary.xlsx
20111118.0,C,,,SR,Kaz11_SurveySummary.xlsx
20111120.0,C,,,SR,Kaz11_SurveySummary.xlsx
20111121.0,C,,,SR,Kaz11_SurveySummary.xlsx
20111122.0,C,,,SR,Kaz11_SurveySummary.xlsx
20111123.0,C,,,SR,Kaz11_SurveySummary.xlsx
20111124.0,C,,,SR,Kaz11_SurveySummary.xlsx
20111011.0,D,,,NK,Kaz11_SurveySummary.xlsx
20111014.0,D,,,NK,Kaz11_SurveySummary.xlsx
20111015.0,D,,,NK,Kaz11_SurveySummary.xlsx
20111016.0,D,,,NK,Kaz11_SurveySummary.xlsx
20111019.0,D,,,NK,Kaz11_SurveySummary.xlsx
20111020.0,D,,,NK,Kaz11_SurveySummary.xlsx
20111022.0,D,,,NK,Kaz11_SurveySummary.xlsx
20111023.0,D,,,GN,Kaz11_SurveySummary.xlsx
20111025.0,D,,,GN,Kaz11_SurveySummary.xlsx
20111026.0,D,,,NK,Kaz11_SurveySummary.xlsx
20111027.0,D,,,NK,Kaz11_SurveySummary.xlsx
20111028.0,D,,,NK,Kaz11_SurveySummary.xlsx
20111101.0,D,,,AA,Kaz11_SurveySummary.xlsx
20111102.0,D,,,AA,Kaz11_SurveySummary.xlsx
2011-10-14,D,,,NK,Kaz11_SurveySummary_TeamD.xls
2011-10-15,D,,,NK,Kaz11_SurveySummary_TeamD.xls
2011-10-16,D,,,NK,Kaz11_SurveySummary_TeamD.xls
2011-10-19,D,,,NK,Kaz11_SurveySummary_TeamD.xls
2011-10-20,D,,,NK,Kaz11_SurveySummary_TeamD.xls
2011-10-21,D,,,NK,Kaz11_SurveySummary_TeamD.xls
2011-10-22,D,,,NK,Kaz11_SurveySummary_TeamD.xls
2011-10-23,D,,,GN,Kaz11_SurveySummary_TeamD.xls
2011-10-25,D,,,GN,Kaz11_SurveySummary_TeamD.xls
2011-10-26,D,,,NK,Kaz11_SurveySummary_TeamD.xls
2011-10-27,D,,,NK,Kaz11_SurveySummary_TeamD.xls
2011-10-28,D,,,NK,Kaz11_SurveySummary_TeamD.xls
2011-11-01,D,,,AA,Kaz11_SurveySummary_TeamD.xls
2011-11-02,D,,,AA,Kaz11_SurveySummary_TeamD.xls
20111016,A,,,JTs,Kaz11_SurveySummary_TeamA.xls
20111019,A,,,JD,Kaz11_SurveySummary_TeamA.xls
20111020,A,,,JD,Kaz11_SurveySummary_TeamA.xls
20111021,A,,,JD,Kaz11_SurveySummary_TeamA.xls
20111022,A,,,JTs,Kaz11_SurveySummary_TeamA.xls
20111023,A,,,JTs,Kaz11_SurveySummary_TeamA.xls
20111024,A,,,GN,Kaz11_SurveySummary_TeamA.xls
20111025,A,,,JTs,Kaz11_SurveySummary_TeamA.xls
20111026,A,,,JD,Kaz11_SurveySummary_TeamA.xls
20111027,A,,,JD,Kaz11_SurveySummary_TeamA.xls
20111128,A,,,JD,Kaz11_SurveySummary_TeamA.xls
20111029,A,,,JTs,Kaz11_SurveySummary_TeamA.xls
20110130,A,,,GM,Kaz11_SurveySummary_TeamA.xls
20111031,A,,,GM,Kaz11_SurveySummary_TeamA.xls
20111101,A,,,GM,Kaz11_SurveySummary_TeamA.xls
20111102,A,,,GM,Kaz11_SurveySummary_TeamA.xls
20111103,A,,,GM,Kaz11_SurveySummary_TeamA.xls
2010-03-22,A,,,Julia T,Kaz10_SurveySummary.xls
2010-03-24,A,,,Tereza,Kaz10_SurveySummary.xls
2010-03-25,A,,,Julia T,Kaz10_SurveySummary.xls
2010-03-26,A,,,Julia T,Kaz10_SurveySummary.xls
2010-03-27,A,,,Julia T,Kaz10_SurveySummary.xls
2010-03-28,A,,,Julia T,Kaz10_SurveySummary.xls
2010-04-07,A,,,Petra,Kaz10_SurveySummary.xls
2010-04-08,A,,,Petra,Kaz10_SurveySummary.xls
2010-04-09,A,,,Petra,Kaz10_SurveySummary.xls
2010-03-17,B,,,Adela,Kaz10_SurveySummary.xls
2010-03-18,B,,,Adela,Kaz10_SurveySummary.xls
2010-03-19,B,,,Adela,Kaz10_SurveySummary.xls
2010-03-20,B,,,Adela,Kaz10_SurveySummary.xls
2010-03-21,B,,,Adela,Kaz10_SurveySummary.xls
2010-03-22,B,,,Adela,Kaz10_SurveySummary.xls
2010-03-24,B,,,Adela,Kaz10_SurveySummary.xls
2010-03-25,B,,,Adela,Kaz10_SurveySummary.xls
2010-03-26,B,,,Adela,Kaz10_SurveySummary.xls
2010-03-28,B,,,Adela,Kaz10_SurveySummary.xls
2010-03-30,B,,,Adela,Kaz10_SurveySummary.xls
2010-03-31,B,,,Adela,Kaz10_SurveySummary.xls
2010-04-01,B,,,Adela,Kaz10_SurveySummary.xls
2010-04-02,B,,,Adela,Kaz10_SurveySummary.xls
2010-04-07,B,,,Adela,Kaz10_SurveySummary.xls
2010-04-08,B,,,Adela,Kaz10_SurveySummary.xls
2010-04-09,B,,,Adela,Kaz10_SurveySummary.xls
2010-03-17,C,,,Bara,Kaz10_SurveySummary.xls
2010-03-18,C,,,Bara,Kaz10_SurveySummary.xls
2010-03-19,C,,,Bara,Kaz10_SurveySummary.xls
2010-03-20,C,,,Bara,Kaz10_SurveySummary.xls
2010-03-21,C,,,Bara,Kaz10_SurveySummary.xls
2010-03-22,C,,,Bara,Kaz10_SurveySummary.xls
2010-03-24,C,,,Bara,Kaz10_SurveySummary.xls
2010-03-25,C,,,Bara,Kaz10_SurveySummary.xls
2010-03-26,C,,,Bara,Kaz10_SurveySummary.xls
2010-03-27,C,,,Bara,Kaz10_SurveySummary.xls
2010-03-28,C,,,Bara,Kaz10_SurveySummary.xls
2010-03-30,C,,,Bara,Kaz10_SurveySummary.xls
2010-03-31,C,,,Bara,Kaz10_SurveySummary.xls
2010-04-01,C,,,Bara,Kaz10_SurveySummary.xls
2010-04-02,C,,,Bara,Kaz10_SurveySummary.xls
2010-04-07,C,,,Bara,Kaz10_SurveySummary.xls
2010-03-08,C,,,Bara,Kaz10_SurveySummary.xls
2010-04-09,C,,,Bara,Kaz10_SurveySummary.xls
2010-04-15,C,,,Bara,Kaz10_SurveySummary.xls
2010-03-18,D,,,Zhoro,Kaz10_SurveySummary.xls
2010-03-19,D,,,Zhoro,Kaz10_SurveySummary.xls
2010-03-20,D,,,Zhoro,Kaz10_SurveySummary.xls
2010-03-21,D,,,Zhoro,Kaz10_SurveySummary.xls
2010-03-22,D,,,Zhoro,Kaz10_SurveySummary.xls
2010-03-24,D,,,Zhoro,Kaz10_SurveySummary.xls
2010-03-25,D,,,Zhoro,Kaz10_SurveySummary.xls
2010-03-26,D,,,Zhoro,Kaz10_SurveySummary.xls
2010-03-27,D,,,Zhoro,Kaz10_SurveySummary.xls
2010-03-28,D,,,Zhoro,Kaz10_SurveySummary.xls
2010-03-30,D,,,Zhoro,Kaz10_SurveySummary.xls
2010-03-31,D,,,Zhoro,Kaz10_SurveySummary.xls
2010-04-01,D,,,Nadja,Kaz10_SurveySummary.xls
